ProductType,Model,Manufacturer
laptop,255 g7 notebook pc,hp
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
laptop,latitude 5590,dell
tablet,galaxy tab a (2016),samsung
laptop,latitude 5580,dell
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
laptop,latitude 5580,dell
laptop,latitude 7390,dell
tablet,galaxy tab a (2016),samsung
laptop,latitude 5500,dell
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
laptop,latitude 5590,dell
laptop,latitude 5590,dell
laptop,latitude 3450,dell
laptop,latitude 3450,dell
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
laptop,latitude 3340,dell
tablet,galaxy tab a (2016),samsung
laptop,latitude 3340,dell
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
laptop,latitude 5520,dell
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
tablet,galaxy tab a (2016),samsung
